"clust_id","vacancy_id"
"130",25,6706385
"131",21,2352026
"132",9,5199286
"133",23,1718585
"134",16,6330256
"135",6,9470146
"136",29,6402606
"137",20,4752875
"138",14,3436636
"139",13,6862876
"140",7,4682766
"141",13,3888076
"142",13,5321776
"143",16,3117395
"144",25,3887585
"145",29,824466
"146",29,5504796
"147",29,1167026
"148",23,6787436
"149",25,1127346
"150",1,9223965
"151",29,3337546
"152",29,6318956
"153",20,5380616
"154",11,8275396
"155",25,2634196
"156",7,7493106
"157",13,5742876
"158",14,1802316
"159",25,9534446
"160",20,3196246
"161",12,3050456
"162",18,8208826
"163",3,8480075
"164",1,378096
"165",21,2675516
"166",2,8143056
"167",14,5360686
"168",11,8291085
"169",30,2479226
"170",4,6529446
"171",15,9191236
"172",8,2598846
"173",1,6619326
"174",11,9621056
"175",25,8530816
"176",1,8280406
"177",7,3164207
"178",11,9063906
"179",22,4888476
"180",13,843076
"181",28,2962726
"182",20,9476007
"183",16,3019706
"184",14,2806485
"185",29,5354806
"186",16,2449786
"187",16,1801585
"188",29,83175
"189",24,6022056
"190",16,2078366
"191",3,7031995
"192",20,5909486
"193",11,1051175
"194",20,9559206
"195",25,2751456
"196",22,7353716
"197",22,4998476
"198",3,7062306
"199",16,1147296
"200",16,3644146
"201",11,6750656
"202",4,586007
"203",13,7816076
"204",29,9770366
"205",4,1462376
"206",22,2378686
"207",14,9886046
"208",25,229846
"209",24,6369176
"210",13,6705676
"211",28,8311326
"212",20,662456
"213",29,6410356
"214",29,779585
"215",13,6782076
"216",8,7314685
"217",24,3865796
"218",12,9545095
"219",7,1630076
"220",23,5030086
"221",13,7407375
"222",15,6020965
"223",21,8978156
"224",1,3036095
"225",7,8728316
"226",14,1061686
"227",22,3189476
"228",4,4214596
"229",22,2989876
"230",7,7154186
"231",1,2335796
"232",22,3221666
"233",2,4163116
"234",19,4369986
"235",25,8206285
"236",3,1880826
"237",30,5950326
"238",11,2442066
"239",3,350726
"240",22,8766956
"241",21,1629836
"242",6,6749985
"243",16,2681926
"244",12,4211096
"245",12,6997495
"246",18,1015575
"247",29,4225506
"248",21,3998156
"249",17,7881285
"250",16,9545575
"251",21,1199436
"252",23,8071965
"253",29,5760066
"254",7,9561975
"255",6,7068346
"256",11,6192086
"257",21,3813736
"258",3,517486
"259",3,7595246
"260",14,2119586
"261",27,2440906
"262",21,3846436
"263",7,4721826
"264",16,9694856
"265",1,2738666
"266",1,6844975
"267",16,5370876
"268",29,5993226
"269",14,3783885
"270",2,2731436
"271",29,7363056
"272",4,8249576
"273",15,5512236
"274",29,2828736
"275",21,82956
"276",25,3714586
"277",21,5620865
"278",21,2349276
"279",29,6006995
"280",26,9405156
"281",18,9482626
"282",14,2585996
"283",17,2975985
"284",2,5646146
"285",16,5204666
"286",14,5080795
"287",23,6370295
"288",25,6122276
"289",24,9645796
"290",11,3077296
"291",21,983316
"292",3,5505096
"293",25,212596
"294",3,9113596
"295",9,5545386
"296",13,6299376
"297",7,8952106
"298",16,4865107
"299",23,3038385
"300",25,7808385
"301",24,8593436
"302",11,4976036
"303",20,2960876
"304",20,1239326
"305",27,986656
"306",4,1887107
"307",20,5907476
"308",28,4532726
"309",21,9810395
"310",1,8569206
"311",17,7133285
"312",1,9537006
"313",21,1835666
"314",1,426886
"315",13,161576
"316",22,9094376
"317",1,1126816
"318",24,5004207
"319",1,4738226
"320",13,4974575
"321",20,914196
"322",11,762636
"323",4,969295
"324",20,697806
"325",20,9471665
"326",11,567596
"327",21,6589565
"328",5,9629306
"329",11,2867906
"330",1,8712246
"331",1,4350036
"332",3,6244207
"333",29,7257326
"334",3,1820526
"335",3,3923896
"336",24,6937166
"337",13,7598376
"338",16,5893116
"339",4,8871295
"340",7,1836856
"341",21,8921306
"342",4,871075
"343",29,9653326
"344",21,1791985
"345",3,7208646
"346",21,112416
"347",1,6026575
"348",21,9979996
"349",24,8334656
"350",25,7572146
"351",7,478585
"352",21,9524875
"353",24,99616
"354",14,3010116
"355",1,4069095
"356",7,622066
"357",6,6747985
"358",20,9258956
"359",1,2425207
"360",20,9351885
"361",22,1621666
"362",13,9287176
"363",29,6688785
"364",13,5119876
"365",23,7112096
"366",27,4361526
"367",28,2572726
"368",20,3700246
"369",7,7831336
"370",18,7093175
"371",25,7933376
"372",1,3999575
"373",16,6720656
"374",20,6769916
"375",2,5340985
"376",20,8710106
"377",24,4934156
"378",4,6174266
"379",14,9195575
"380",21,5085795
"381",16,9464785
"382",16,4916246
"383",25,9073195
"384",7,6232307
"385",3,6925975
"386",12,9058356
"387",13,658276
"388",11,4833356
"389",24,7047675
"390",29,8917186
"391",1,3299146
"392",16,9317526
"393",2,754765
"394",22,3485536
"395",6,1772856
"396",13,5109066
"397",4,1937006
"398",29,1810306
"399",29,65307
"400",7,3263985
"401",26,5585526
"402",22,8553716
"403",7,5638866
"404",4,2292166
